<<<<<<< Updated upstream
Group,Team
Group A,My Team
Group A,Team 1
Group A,Team 2
Group A,Team 3
Group A,Team 4
Group B,Team 5
Group B,Team 6
Group B,Team 7
Group B,Team 8
Group B,Team 9
=======
Group 1 (Place 1-4),Group 2 (Place 5-8),Group 3 (Place 9-12)
1-1 ~~~~~~~~~~~~~~~~~~~~~ ,2-1  ~~~~~~~~~~~~~~~~~~~~~,3-1 ~~~~~~~~~~~~~~~~~~~~~
1-2 ~~~~~~~~~~~~~~~~~~~~~ ,2-2  ~~~~~~~~~~~~~~~~~~~~~,3-2 ~~~~~~~~~~~~~~~~~~~~~       
1-3 ~~~~~~~~~~~~~~~~~~~~~ ,2-3 ~~~~~~~~~~~~~~~~~~~~~ ,3-3 ~~~~~~~~~~~~~~~~~~~~~                     
1-4 ~~~~~~~~~~~~~~~~~~~~~,2-4 ~~~~~~~~~~~~~~~~~~~~~ ,3-4 ~~~~~~~~~~~~~~~~~~~~~                          
>>>>>>> Stashed changes
